date,aqi
2005-10-01,38.92
2005-11-01,37.1766
2005-12-01,38.352199999999996
2006-01-01,42.936800000000005
2006-02-01,41.205799999999996
2006-03-01,47.51
2006-04-01,42.8508
2006-05-01,41.8486
2006-06-01,41.72
2006-07-01,50.313199999999995
2006-08-01,53.7464
2006-09-01,48.545
2006-10-01,61.8228
2006-11-01,40.498400000000004
2006-12-01,39.036
2007-01-01,39.408
2007-02-01,43.08560000000001
2007-03-01,44.6576
2007-04-01,41.0154
2007-05-01,39.8324
2007-06-01,41.4108
2007-07-01,44.997600000000006
2007-08-01,45.3546
2007-09-01,43.023199999999996
2007-10-01,40.132400000000004
2007-11-01,40.91137254901961
2007-12-01,38.26039215686274
2008-01-01,40.0821568627451
2008-02-01,45.29960784313726
2008-03-01,38.56725490196079
2008-04-01,40.399607843137254
2008-05-01,45.55313725490196
2008-06-01,41.3921568627451
2008-07-01,40.74529411764706
2008-08-01,45.4275
2008-09-01,41.089215686274514
2008-10-01,36.24666666666666
2008-11-01,36.78862745098039
2008-12-01,37.144705882352945
2009-01-01,40.45764705882353
2009-02-01,45.135384615384616
2009-03-01,37.28365384615385
2009-04-01,38.994038461538466
2009-05-01,41.424807692307695
2009-06-01,48.68980769230769
2009-07-01,50.62230769230769
2009-08-01,48.26307692307692
2009-09-01,46.097307692307695
2009-10-01,38.815384615384616
2009-11-01,33.47769230769231
2009-12-01,36.19403846153846
2010-01-01,38.340192307692305
2010-02-01,41.35865384615385
2010-03-01,42.955576923076926
2010-04-01,39.23843137254902
2010-05-01,39.17038461538461
2010-06-01,37.88423076923077
2010-07-01,38.04692307692308
2010-08-01,39.53057692307693
2010-09-01,37.589615384615385
2010-10-01,41.87596153846154
2010-11-01,35.419230769230765
2010-12-01,35.23596153846154
2011-01-01,38.49173076923077
2011-02-01,43.595
2011-03-01,38.74923076923077
2011-04-01,41.744807692307695
2011-05-01,42.12884615384615
2011-06-01,45.644615384615385
2011-07-01,51.11730769230769
2011-08-01,47.39192307692308
2011-09-01,47.00211538461539
2011-10-01,38.29615384615385
2011-11-01,34.736346153846156
2011-12-01,36.56288461538462
2012-01-01,36.94307692307692
2012-02-01,39.368235294117646
2012-03-01,40.70921568627451
2012-04-01,38.113725490196074
2012-05-01,40.69588235294117
2012-06-01,52.20490196078431
2012-07-01,43.24096153846154
2012-08-01,49.909615384615385
2012-09-01,47.277499999999996
2012-10-01,40.84576923076923
2012-11-01,35.0926923076923
2012-12-01,35.98288461538461
2013-01-01,40.95826923076923
2013-02-01,37.22865384615385
2013-03-01,44.41211538461538
2013-04-01,40.79057692307693
2013-05-01,39.29865384615385
2013-06-01,67.23153846153846
2013-07-01,46.70807692307692
2013-08-01,45.434038461538464
2013-09-01,41.25076923076923
2013-10-01,37.482692307692304
2013-11-01,34.388653846153844
2013-12-01,33.05423076923077
2014-01-01,38.255384615384614
2014-02-01,44.34403846153846
2014-03-01,51.597500000000004
2014-04-01,39.68865384615385
2014-05-01,35.40615384615385
2014-06-01,44.10923076923076
2014-07-01,49.22673076923077
2014-08-01,37.206346153846155
2014-09-01,45.00923076923077
2014-10-01,44.95807692307692
2014-11-01,35.63403846153846
2014-12-01,35.29826923076923
2015-01-01,42.61884615384615
2015-02-01,45.074615384615385
2015-03-01,47.697307692307696
2015-04-01,42.106923076923074
2015-05-01,41.027692307692305
2015-06-01,40.11
2015-07-01,null
2015-08-01,null
2015-09-01,null
2015-10-01,null
2015-11-01,null
2015-12-01,null
2016-01-01,null
2016-02-01,null
2016-03-01,null
2016-04-01,null
2016-05-01,null
2016-06-01,null
2016-07-01,null
2016-08-01,null
2016-09-01,null
2016-10-01,null
2016-11-01,null
2016-12-01,null
2017-01-01,37.235217391304346
2017-02-01,40.2
2017-03-01,41.48065217391304
2017-04-01,28.96103448275862
2017-05-01,22.903793103448276
2017-06-01,24.263448275862068
2017-07-01,26.235689655172415
2017-08-01,23.12913793103448
2017-09-01,22.05603448275862
2017-10-01,23.038793103448278
2017-11-01,19.360172413793105
2017-12-01,21.354237288135593
2018-01-01,19.07421875
2018-02-01,26.83953846153846
2018-03-01,24.453333333333333
2018-04-01,25.12323076923077
2018-05-01,22.627846153846153
2018-06-01,25.17830769230769
2018-07-01,28.928461538461537
2018-08-01,47.56892307692308
2018-09-01,52.41323076923077
2018-10-01,47.17261538461538
2018-11-01,44.071538461538466
2018-12-01,41.14584615384615
2019-01-01,45.12046153846154
2019-02-01,49.38707692307692
2019-03-01,58.484
2019-04-01,53.928615384615384
2019-05-01,49.57784615384615
2019-06-01,46.798153846153845
2019-07-01,55.18092307692308
2019-08-01,64.31246153846155
2019-09-01,86.50800000000001
2019-10-01,47.315538461538466
2019-11-01,45.837384615384615
2019-12-01,40.150769230769235
2020-01-01,43.84323076923077
2020-02-01,45.312615384615384
2020-03-01,48.466307692307694
2020-04-01,42.534615384615385
2020-05-01,40.873538461538466
2020-06-01,43.41692307692308
2020-07-01,43.279384615384615
2020-08-01,50.76261538461539
2020-09-01,43.384
2020-10-01,44.44
2020-11-01,38.77307692307692
2020-12-01,40.590923076923076
2021-01-01,40.78553846153846
2021-02-01,51.638
2021-03-01,48.799076923076925
2021-04-01,49.21969230769231
2021-05-01,44.94846153846154
2021-06-01,47.79784615384616
2021-07-01,49.832
2021-08-01,43.437384615384616
2021-09-01,43.79615384615385
2021-10-01,46.21553846153846
2021-11-01,38.446
2021-12-01,43.0443076923077
2022-01-01,46.988461538461536
2022-02-01,41.58615384615384
2022-03-01,44.16230769230769
2022-04-01,47.05461538461539
